idx,date,week,day,time,id,step,loc
210,08월 27일,2,1,19:00,저녁수업,,신촌
211,08월 27일,2,1,19:30,저녁수업,,신촌
212,08월 27일,2,1,20:00,저녁수업,,신촌
213,08월 27일,2,1,20:30,저녁수업,,신촌
214,08월 27일,2,1,21:00,저녁수업,,신촌
215,08월 27일,2,1,21:30,저녁수업,,신촌
216,08월 27일,2,1,22:00,저녁수업,,신촌
217,08월 28일,2,2,9:00,아침수업,,강남
218,08월 28일,2,2,9:30,아침수업,,강남
219,08월 28일,2,2,10:00,아침수업,,강남
220,08월 28일,2,2,10:30,아침수업,,강남
221,08월 28일,2,2,11:00,아침수업,,강남
222,08월 28일,2,2,11:30,아침수업,,강남
223,08월 28일,2,2,12:00,아침수업,,강남
224,08월 28일,2,2,12:30,아침수업,,강남
225,08월 28일,2,2,13:00,아침수업,,강남
226,08월 28일,2,2,13:30,아침수업,,강남
227,08월 28일,2,2,14:00,,,강남
228,08월 28일,2,2,14:30,,,강남
229,08월 28일,2,2,15:00,,,강남
230,08월 28일,2,2,15:30,,,강남
231,08월 28일,2,2,16:00,,,강남
232,08월 28일,2,2,16:30,,,강남
233,08월 28일,2,2,17:00,,,강남
234,08월 28일,2,2,17:30,,,강남
235,08월 28일,2,2,18:00,,,강남
236,08월 28일,2,2,18:30,저녁수업,,강남
237,08월 28일,2,2,19:00,저녁수업,,강남
238,08월 28일,2,2,19:30,저녁수업,,강남
239,08월 28일,2,2,20:00,저녁수업,,강남
240,08월 28일,2,2,20:30,저녁수업,,강남
241,08월 28일,2,2,21:00,저녁수업,,강남
242,08월 28일,2,2,21:30,저녁수업,,강남
243,08월 28일,2,2,22:00,저녁수업,,강남
244,08월 29일,2,3,9:00,아침수업,,신촌
245,08월 29일,2,3,9:30,아침수업,,신촌
246,08월 29일,2,3,10:00,아침수업,,신촌
247,08월 29일,2,3,10:30,아침수업,,신촌
248,08월 29일,2,3,11:00,아침수업,,신촌
249,08월 29일,2,3,11:30,아침수업,,신촌
250,08월 29일,2,3,12:00,아침수업,,신촌
251,08월 29일,2,3,12:30,아침수업,,신촌
252,08월 29일,2,3,13:00,아침수업,,신촌
253,08월 29일,2,3,13:30,아침수업,,신촌
254,08월 29일,2,3,14:00,,,신촌
255,08월 29일,2,3,14:30,,,신촌
